source,target,CF_contribution
0x133e5a1cb22e080ec61dda88118e80a6bfd10051,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.001
0x135c21b2da426760718e39da954974c4572ae9f6,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.25
0x135c21b2da426760718e39da954974c4572ae9f6,0xda18e1537622802ec576d99a8e3913914653bd6f,0.5
0x137cd7fd10217f9b43ac3cd883bca112babf5883,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x13975117e55160d6b30c34f02ae8d338fc4f951f,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x13e965baafda80c7501c23cbed282d5e53e3066b,0xadbd9aeda5633448e8b4953b4376c9514075abf4,0.2
0x13ebd3443fa5575f0eb173e323d8419f7452cfb1,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.123
0x13ebd3443fa5575f0eb173e323d8419f7452cfb1,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.01
0x142ba743cf9317eb54ba10c157870af3cbb66bd3,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.004
0x14977b0dbe7e155f9907effecbb70c9b7a05e737,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.3
0x14edc14b3886b2c8068bdef3fb8c05bf07a21c2c,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.1
0x15a3d0fb90bb6358f165b2915273a086453bfa77,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.25
0x15a3d0fb90bb6358f165b2915273a086453bfa77,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.1
0x163e79e122736989d6959a5c8073a43d2ffa6ea2,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.0025
0x16562667452aef96e2b21b01b4b48928e44f4e71,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,2.0
0x1669efe64f446186ae7ae2b4dac0924c7a257fea,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.1
0x167539702b5501aadd9b0b85e53532fd57cc71a9,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,2.0
0x16a1bf7aa0dca07c80760a39a2ed3030fc10c3bf,0x3b3525f60eeea4a1ef554df5425912c2a532875d,0.05
0x16ffe3938b69132c72a5b0250708792db72971b4,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.161
0x171c8be8b92674f7d7b0593aca4619a25a40b6f0,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.004
0x174d123ce1ef00eebf1026fbf061a7a58a928def,0x3527a204a5260a0e36ca695312379370328e4e6c,1.0
0x174d123ce1ef00eebf1026fbf061a7a58a928def,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.1
0x176d13b1e6ac0476e108c3ca60b15919dff0bcdf,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.1
0x1783b559d21058080f3b6bb1a93e0cfee4779996,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x1786d033d5cbcc235b673e872c7613c2f83da583,0xc3268ddb8e38302763ffdc9191fcebd4c948fe1b,0.1
0x1786d033d5cbcc235b673e872c7613c2f83da583,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.1
0x17cd072cbd45031efc21da538c783e0ed3b25dcc,0x345122f6513329d169cff39ace8978edc3942b5d,1.0
0x17cd072cbd45031efc21da538c783e0ed3b25dcc,0x3527a204a5260a0e36ca695312379370328e4e6c,0.25
0x17cd072cbd45031efc21da538c783e0ed3b25dcc,0x5e692fe3d06414d75380604ba202c7d5ed94f219,0.111
0x17cd072cbd45031efc21da538c783e0ed3b25dcc,0xadbd9aeda5633448e8b4953b4376c9514075abf4,0.25
0x17cd072cbd45031efc21da538c783e0ed3b25dcc,0xda18e1537622802ec576d99a8e3913914653bd6f,0.777
0x17dfd18987b6b131686fea478600b75d11193335,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.01
0x17e06a4190444596a4727496b565f8cbc34bbb1c,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x17e33637f6b64e9082ea499481b6e6ebae7eea23,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x182ab91cede43208251095c4af2aba1f2bde72a9,0xadbd9aeda5633448e8b4953b4376c9514075abf4,0.156
0x182ab91cede43208251095c4af2aba1f2bde72a9,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.02
0x186bad94057591918c3265c4ddb12874324be8ac,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,3.0
0x187089b33e5812310ed32a57f53b3fad0383a19d,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.1
0x18be3712aa6c65b130835a5f1468d0ea69ce15ea,0xc3268ddb8e38302763ffdc9191fcebd4c948fe1b,0.01
0x18c6a47aca1c6a237e53ed2fc3a8fb392c97169b,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.1
0x18c8df1fb7fb44549f90d1c2bb1dc8b690cd0559,0x3b3525f60eeea4a1ef554df5425912c2a532875d,0.02
0x18c8df1fb7fb44549f90d1c2bb1dc8b690cd0559,0xc3268ddb8e38302763ffdc9191fcebd4c948fe1b,0.1
0x18c8df1fb7fb44549f90d1c2bb1dc8b690cd0559,0xf0cad7c8b383f79a879eb6df644e336234ebdac8,0.05
0x18c8df1fb7fb44549f90d1c2bb1dc8b690cd0559,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.1
0x190473b3071946df65306989972706a4c006a561,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.1
0x190f84a2a669ac7f4491c4df161dcb98b7c9bb5f,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x192420795e6a2c80c4a90f8a380d792145985f27,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.27
0x192420795e6a2c80c4a90f8a380d792145985f27,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x197654927b536cb58ec0ba369ae0047e4dcf6e01,0xdc1f98682f4f8a5c6d54f345f448437b83f5e432,0.1
0x197b78266b283ab19c7a48948fb05ea364b4e570,0xda18e1537622802ec576d99a8e3913914653bd6f,0.1
0x19eb7ffdcd670ca917110bd032463120a5e58c8e,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x1a207beefc754735871ceeb4c506686f044b1c41,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.16111
0x1aa000e34290c1ce5cae1084cd46b1bca04ba6f2,0xc46e9a66fddc8d1a69529d86e668236f02957f1b,0.03
0x1aa000e34290c1ce5cae1084cd46b1bca04ba6f2,0xda18e1537622802ec576d99a8e3913914653bd6f,0.021
0x1ad8f000063ffc26385bf341f0063d680b4f96f4,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x1ae6912e08bb3e105a4f0a60f666376d3c7af380,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,0.001
0x1ae7a73c3bf5b428b98241b96b43b90afbbb50fc,0xda18e1537622802ec576d99a8e3913914653bd6f,0.04
0x1aff1e0f1d5f76f92145a278d8c31af9ade783dd,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x1b158330eb18839f50649f4cb8f49954214866a3,0xda18e1537622802ec576d99a8e3913914653bd6f,0.5
0x1b48fede19a4644a01f873082ae694d7a86068a1,0xda18e1537622802ec576d99a8e3913914653bd6f,0.15
0x1b7df0efb5b552a3f87e85710e4580c84355991a,0x3b3525f60eeea4a1ef554df5425912c2a532875d,0.02
0x1baec9d58603f6eaeddbd66acc56db76215fc8d6,0xfa5f665fad9b4b5a374f6dec38eb3e5218e2ea33,1.0
0x1c0f2a3f1fd29b31c8123fc672bd5d554f41c82d,0x42dfaf5266ad40ab4533f9806f5cc1df4c1eb363,0.1
0x1c0f2a3f1fd29b31c8123fc672bd5d554f41c82d,0xfc4852b5e3af65058cdfe1d1dce26946c0c1975f,0.1
0x1c2ef64b96bff2396842a7750b7504fb20d718dc,0xc57c5ae582708e619ec1ba7513480b2e7540935f,0.23
0x1cbbc4e224ac7b830d4bfa50b3d80fd5fb1ad674,0xc3268ddb8e38302763ffdc9191fcebd4c948fe1b,0.3
