buyer,valuebought,contract_address,fundingRecipient,org_quantity,org_price,editionId,evt_block_time
\x1a207beefc754735871ceeb4c506686f044b1c41,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\xb2ee477ced8d69afdb5707b31170c782f5f26f5b,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\x78885686feec340ab544428f161e7d621f520e29,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xf2b506a799159ac4add1ad7182d1635b6cf5dc24,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\xe826f1c06d5ae90e4c098459d1b7464a8dc604ca,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\x9d6a2716f843d84e2bf81127ffff5176a0b647c2,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x399e0ae23663f27181ebb4e66ec504b3aab25541,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x21532d4267648191bef7a33c813c43cf90a6fa78,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x21532d4267648191bef7a33c813c43cf90a6fa78,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\x36de990133d36d7e3df9a820aa3ede5a2320de71,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xc1bdd1e725149a533c1d56636b93ff18140930e4,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x4d1dcf15acbc0b69aed7b0d87bda5cbc66c48184,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\x4d1dcf15acbc0b69aed7b0d87bda5cbc66c48184,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x39b754a9b7d4932d740b9bf6b77d6995318342c7,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xfa7513021002f7181333b773bf801dfd7fd91ce7,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\xfa7513021002f7181333b773bf801dfd7fd91ce7,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x18b24cf58dd392b9dad6ede481300d33309f3595,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x16f530a535123cfc13a98ef5c85fd14857960eed,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x4abc33cf81e0d21f42168d044f7002edd6b80b09,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\x4abc33cf81e0d21f42168d044f7002edd6b80b09,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x8f97c9ba31097e5c0f96a492ecfdbf92be5b4126,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x8f97c9ba31097e5c0f96a492ecfdbf92be5b4126,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
\xc7c12e35f6f10863d51e541dd143a9f6a6c8cbc8,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x1d3eda0356e492d51fde4ffb8651c549bdecbdca,0.01000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,1000,0.01000000000000000000,26,2021-07-06T02:46:51+00:00
\x1d3eda0356e492d51fde4ffb8651c549bdecbdca,0.05000000000000000000,\x3725ca6034bcdbc3c9ada649d49df68527661175,\x4eb0d2b356da831ac613aef9ec3d705d78dfd197,500,0.05000000000000000000,27,2021-07-06T02:54:34+00:00
